1,1,"Cok kisa surede cok  saglam geldi..urunun gorsellerinin resmini size olcuyu anlamanuz icin 1 lt lik sut ile mukayeseledim..icini yikayip hemen 2 patates , biber, kofte koyup 12 dakika  ayarladim ilk denememi..cok iyi oldu...kitapcigi olmamasi kötü.internetten okudum kagit koymayin diye..ben de direk metale koydum.hizli ve guzel pisirdi..tabii bu durumda ic kirleniyo.o kadar da olsun.",5,bu ürünü Hızlıgitti satıcısından aldı.
1,2,"Kullanımı kolay , zaman ayarlamasını yapıyorsunuz sıcaklığı ayarlıyorsunuz her kızartma tipinin kendi ayarıda var zaten örneğin patatesin üzerine 2 yemek kaşığı yağ sürüyorsunuz . tepsiyi kapatıp düğmeye basıyorsunuz. 20 dk sonra tepsiyi açtığınızda kızarmış patatesi alıyorsunuz. ben memnun kaldım. satıcıda ambalajı hiç açılmamış ürünü fabrikasyon çıkışı haliyle  göndererek üzerine düşeni yaptı.",5,bu ürünü EMC&BİLİSİM&TEKN satıcısından aldı.
1,3,4 kişilik cekırdek bır aileye yeterli bence.4 adet tavuk budu sıgar ölçüde.patates ise mükemmel oluyor,5,bu ürünü Hepsiburada satıcısından aldı.
1,4,"Ürünü çok beğendim daha önce almadığım için pişman oldum
Patates,balık,tavukta güzel sonuçlar aldık 👍🏻",5,bu ürünü Hızlıgitti satıcısından aldı.
1,5,Kanat yaptım çok güzeldi çok beğendim mükemmel bir ürün,5,bu ürünü Hızlıgitti satıcısından aldı.
1,6,Pişirme modlarının ayrıntılı yazdığı bir kitapçık çıkmıyor. Kutu üzerinde yazan uygulama Türkiyede çalışmıyor. Ürün made in turkey. Bu olayı anlayamadım. Kullanımını internetten bakıp öğrenmek zorunda kaldık. Kargo sorunsuz ürün güzel . 2-3 kişilik yemek kapasitesi var. 2 kişi yaşayan bir ev için ideal,5,bu ürünü Hepsiburada satıcısından aldı.
1,7,"Bende çok direnenlerdenim ama bunca zaman niye almamışım ki 3 gündür herseyi deneyim nerdeyse patates, patlıcan ,mantar tavuk süper oldu tek sıkıntı içinde ayrıca aparat yok ve pişirme haznesi çıkmıyor onunda tek seferde elde yada makinada yikayabilisiniz çok pratik .4.1 lt aldım ben ama bir üst model de alabilimisim.tek pişmanlığım o oldu neyse 3 kişilik bir aile için bence gayet yeterli Philips bir çok ürününü kullaniyorum buda harika cikti",5,bu ürünü Hepsiburada satıcısından aldı.
1,8,"Ürün gerçekten çok güzel çok memnunum . Eti tavuğu patatesi köfteyi biberi hepsini denedim . Hepsi de çok güzel oldu . Kesinlikle tavsiye ederim . 20 dk da yemekler hazır . İç haznesi de 3,4 kişilik aileler için yeterli .",5,bu ürünü Hepsiburada satıcısından aldı.
1,9,Çok güzel pratik em hoşuma giden sosilerin yağsız şekilde mükemmel pismesi,5,bu ürünü Hepsiburada satıcısından aldı.
1,10,Valla patates tavuk vs yaptık gayet iyi. 2-3 kişilik yemekleri hızlıca hazırlayabiliyor. Ekmek kızartıyoruz o da güzel oluyor. Normal patatesleri biraz kalın doğramak gerekiyor yoksa kurutuyor. Hızlı pratik bi alet güzel..,5,bu ürünü Hızlıgitti satıcısından aldı.
2,1,Hızlı sağlam ve sorunsuz bir şekilde geldi. Ürünü kullandım gayet güzel memnunum. Temizliği ve kullanımı pratik.,5,bu ürünü Hepsiburada satıcısından aldı.
2,2,"Philips airfrier ı kalitesini bilerek anneme aldık.
Kargolama gayet hızlı
Ürün çok güzel",5,bu ürünü Hepsiburada satıcısından aldı.
2,3,4 kişilik bir aile için kapasitesi düşük ama markaya göre fiyat güzel,5,bu ürünü Hepsiburada satıcısından aldı.
2,4,Markası zaten şüphesiz. Tavsiye üstüne aynı üründen 2. siparişi bile oluşturdum. Hızlı kargolama. Hasarsız teslim.,5,bu ürünü Hepsiburada satıcısından aldı.
2,5,"Çok güzel zahmetsiz bir ürün , tavuk yaptım , kestane kavurdum, patates kızarttım hepsi de müthiş oldu tariflere uyduğunuz sürece yemekler harika oluyor ama resizandsından gürültü geliyor tek rahatsız olduğum konu bu",4,bu ürünü Hepsiburada satıcısından aldı.
2,6,Bende xxl olan modeli var bunu anneme hediye olarak aldım. Kullanışlı 2-3 kişilik aileler için ideal ve yeterli,5,bu ürünü Hepsiburada satıcısından aldı.
